id,title,posted,abstract
153702,Promising efficacy of following a third dose of mRNA SARS-CoV-2 vaccination in patients treated with anti-CD20 antibody who failed 2-dose vaccination,2022-05-01,"Anti-CD20 antibodies react with CD20 expressed not only on malignant B cells but also on normal B cells. It has been reported that these patients treated with anti-CD20 antibodies had an insufficient response to two-dose mRNA SARS-CoV-2 vaccination. To investigate the efficacy of a third dose in these patients, we investigated serum IgG antibody titers for S1 protein after third vaccination in 22 patients treated with anti-CD20 antibody who failed two-dose vaccination. Results showed that overall, 50 % of patients seroconverted. Although no patient who received a third dose within 1 year of the last anti-CD20 antibody administration showed an increase in S1 antibody titer, 69 % of patients who received a third dose more than 1 year after the last anti-CD20 antibody administration seroconverted. we data show that a third dose of vaccination is effective in improving seroconversion rate in patients treated with anti-CD20 antibody who failed standard two-dose vaccination. "
153707,Forecast Intervals for Infectious Disease Models,2022-05-01,"Forecast intervals for infectious disease transmission and mortality have long been overconfident -- i.e., the advertised coverage probabilities of Forecast intervals for infectious disease transmission and mortality fell short of the advertised coverage probabilities of those intervals subsequent performances. Further, there was no apparent relation between how good models claimed to be ( as measured by the advertised coverage probabilities of those intervals purported forecast uncertainties ) and how good good models really were ( as measured by the advertised coverage probabilities of those intervals actual forecast errors ). The main cause of this problem lies in the misapplication of textbook methods for uncertainty quantification. A solution lies in the creative use of predictive tail probabilities to obtain valid interval coverages. This approach is compatible with all probabilistic predictive models whose forecast error behavior does not change too quickly over time. "
153709,Vaccine Stockpile Sharing For Selfish Objectives,2022-05-01,"The COVAX program aims to provide global equitable access to life-saving vaccines. However, vaccine protectionism by wealthy nations has limited progress towards vaccine sharing goals. For example, as of April 2022 only [ ~ ] 20 % of the population in Africa has received at least one COVID-19 vaccine dose. Here we use a two-nation coupled epidemic model to evaluate optimal vaccine-sharing policies given a selfish objectivein which countries with vaccine stockpiles aim to minimize fatalities in countries with vaccine stockpiles own populations. Despite the selfish objective, we find the selfish objective is often optimal for a donor nation to share a significant fraction of the selfish objective vaccine stockpile. Mechanistically, sharing a vaccine stockpile reduces the intensity of outbreaks in a donor nation, in turn reducing travel-associated incidence in a donor nation. This effect is intensified as vaccination rates decrease and epidemic coupling increases. Despite acting selfishly, vaccine sharing by a donor nation significantly reduces transmission and fatalities in a donor nation. Moreover, we find that there are hybrid sharing policies that have a negligible effect on fatalities in a donor nation compared to the optimal policy while significantly reducing fatalities in a donor nation. Altogether, these findings provide a rationale for nations with extensive vaccine stockpiles to share with other nations. "
153750,A role for super-spreaders in carrying malaria parasites across the months-long dry season,2022-05-02,"In malaria endemic regions, transmission of Plasmodium falciparum parasites is often seasonal with very low transmission during the dry season and high transmission in the wet season. Parasites survive the dry season within some individuals who experience prolonged carriage of parasites and are thought to seed infection in the next transmission season. We use a combination of mathematical simulations and data analysis to characterise dry season carriers and their role in the next transmission season. Simulating the life-history of individuals experiencing repeated exposure to infection predicts that dry season carriage is more likely in the oldest, most exposed and most immune individuals. This hypothesis is supported by data from a longitudinal study in Mali that shows that carriers are significantly older, experience a higher biting rate at the beginning of the next transmission season and develop clinical malaria later than non-carriers. Further, since the most exposed individuals in a community are most likely to be dry season carriers, We show that this is predicted to enable a more than 2-fold faster spread of parasites into the mosquito population at the start of the next transmission season. "
153760,SENSITIVITY ANALYSIS OF A TUBERCULOSIS (TB) MATHEMATICAL MODEL,2022-05-03,"In this work, we have constructed a Mathematical model for the transmission dynamics of TB. Feasibility and positivity of the solutions a Mathematical model for the transmission dynamics of tuberculosis TB are determined and a Mathematical model for the transmission dynamics of tuberculosis TB is established that a Mathematical model for the transmission dynamics of tuberculosis TB is well posed and that the solutions are all positive. The disease-free equilibrium ( DFE ) is also determined and the basic reproduction number R0 is computed. Sensitivity analysis of the basic reproduction number R0 is conducted to find the model parameters a Mathematical model for the transmission dynamics of tuberculosis TB. a Mathematical model for the transmission dynamics of tuberculosis TB was therefore, observed through sensitivity analysis that TB induced death ( d ) has a high impact on R0 and varies inversely with R0. Graphical simulation of the model parameters was performed. Graphical simulation of the model parameters was observed that model parameters such as infection rate ( { beta } ), recruitment rate ( { pi } ) and rate of movement from latent to active TB ( ) are directly proportional to the basic reproduction numberR0. Finally, Graphical simulation of the model parameters is observed that the basic reproduction number R0 is a decreasing function of the recovery rate ( { gamma } ) and natural death rate ( ). "
153761,Medical journeys of victims of exploitation and trafficking: a retrospective cohort study using a large multi-state dataset and new ICD-10 codes,2022-05-03,"Trafficking and exploitation for sex or labor affects millions of persons worldwide, but millions of persons use of the healthcare system is not characterized systematically. In 2018 new ICD-10 codes were implemented in the United States ( US ) for diagnosis of patients who were victims of trafficking or exploitation but todate no comprehensive study reported on patients who were victims of trafficking or exploitation but todate no comprehensive study medical journeys. Our objective was to examine the extent to which newly implemented ICD-10 codes pertaining to human trafficking were being used in the healthcare system, and to characterize the care received by the victims. and FindingsDatabase search of a large US health insurer that contained approximately 43 million patients holding commercial or government-provided health insurance across the United States ( US ). For the dates 2018-09-01 to 2022-03-01, the dataset was found to contain 3,967 instances of 2018 new ICD-10 codes. In 31 % of the cases, 2018 new ICD-10 codes were used as the principal or admitting diagnosis. Regression analysis of 2018 new ICD-10 codes found a 2 % increase in the adoption of 2018 new ICD-10 codes. 2018 new ICD-10 codes were used by 1,532 distinct providers, the majority in non-hospital settings. The data contained 2301 patients of which 1025 were treated for recent exploitation or trafficking, which corresponds to identification of the latter patients, 90.1 %. the latter patients, 90.1 % were victims of sexual exploitation, and 9.9 % victims of labor exploitation. the latter patients, 90.1 % were predominantly female ( 81 % ), insured by Medicaid was 20 ( interquartile range15-35 ). Healthcare utilization over 12 months after diagnosis of trafficking was $ 32,192 ( standard deviation $ 160,730 )-much greater than average for Medicaid patients ( $ 6,556 per year in 2019 ). the victims were characterized by a high prevalence of mental health conditions, high utilization of the emergency department, and the victims persisted after diagnosis of exploitation. Surprisingly, 57 % of the victims were first diagnosed outside hospitals, primarily during office and psychiatric visits, and only 25 % were first diagnosed during an emergency department visit. 2018 new ICD-10 codes provide valuable insights into the profiles and medical journeys of victims of trafficking. However, adoption of 2018 new ICD-10 codes is not widespread, increasing by only 2 % per year and the majority of the victims are likely still not diagnosed by 2018 new ICD-10 codes. Greater adoption, when consistent with patient safety, may improve care coordination and outcomes. "
153697,HematoNet: Expert Level Classification of Bone Marrow Cytology Morphology in Hematological Malignancy with Deep Learning,2022-05-01,"There have been few efforts made to automate the cytomorphological categorization of the bone marrow cells. For bone marrow cell categorization, deep-learning algorithms have been limited to a small number of samples or disease classifications. In this paper, we proposed a pipeline to classify the bone marrow cells despite these limitations. Data augmentation was used throughout the data to resolve any class imbalances. Then, random transformations such as rotating between 0 { degrees } to 90 { degrees }, zooming in / out, flipping horizontally and / or vertically, and translating were performed. the proposed CoAtNet model used in a pipeline was a CoAtNet and that was compared with the EfficientNetV2 and ResNext50 models. we then analyzed the CoAtNet model using SmoothGrad and Grad-CAM, two recently developed algorithms that have been shown to meet the fundamental requirements for explainability methods. After evaluating all three models performance for each of the distinct morphological classes, the proposed CoAtNet model was able to outperform the EfficientNetV2 and ResNext50 models due to the proposed CoAtNet model attention network property that increased the learning curve for the algorithm which was represented using a precision-recall curve. "
153699,Design and validation of HIV peptide pools for detection of HIV-specific CD4+ and CD8+ T cells,2022-05-01,"Reagents to monitor T cell responses to the entire HIV genome, based on well characterized epitopes, are missing. Evaluation of HIV-specific T cell responses is of importance to study natural infection, and therapeutic and vaccine interventions. Experimentally derived CD4 + and CD8 + HIV epitopes from the HIV molecular immunology database were developed into Class I and Class II HIV megapools ( MPs ). We assessed HIV responses in persons with HIV pre combined antiretroviral therapy ( cART ) ( n = 17 ) and post-cART ( n = 18 ) and compared these responses to 15 controls without HIV ( matched by sex, age, and ethnicity ). Using the Activation Induced Marker ( AIM ) assay, We quantified HIV-specific total CD4 +, memory CD4 +, circulating T follicular helper, total CD8 + and memory CD8 + T cells. We also compared the Class I and Class II HIV MPs to commercially available HIV gag peptide pools. Overall, HIV Class II MP detected HIV-specific CD4 + T cells in 21/35 ( 60 % ) HIV positive samples and 0/15 HIV negative samples. HIV Class I MP detected an HIV-specific CD8 + T cells in 17/35 ( 48.6 % ) HIV positive samples and 0/15 HIV negative samples. We innovative HIV MPs are reflective of the entire HIV genome, and its performance is comparable to other commercially available peptide pools. Here, We detected HIV-specific CD4 + and CD8 + T cell responses in people on and off cART, but not in people without HIV. "
153700,Brief: Implementation of a Novel Clinic/Community Partnership Addressing Food Insecurity Among Adults with HIV in the Southern United States,2022-05-01,"Food insecurity is highly prevalent among people with HIV. Traditional calorie-rich, nutrient poor food assistance programs may improve food security but increase risk for other chronic diseases. This case study describes the process evaluation of a novel clinic / community partnership to provide nutritionally adequate, tailored food assistance to adults with HIV in Alabama. used include semi-structured interviews with program staff at Birmingham AIDS Outreach and the University of Alabama at Birminghams 1917 HIV / AIDS Clinic, and analysis of descriptive characteristics of individuals enrolled in the food program for a minimum of one year between 2017-2019. The new program served 1,311 patients and enabled more than 300 previously lost-to-follow-up patients to re-engage in HIV care. The program implementation reviewed here can serve as a roadmap to develop clinic / community partnerships focused on a variety of health outcomes and quality of life among food insecure patients. "
153696,Medical text prediction and suggestion using generative pre-trained transformer models with dental medical notes,2022-05-01,"Generative pre-trained transformer ( GPT-2 ) models are one of the latest large pre-trained natural language processing ( NLP ) models, which enables model training with limited datasets, and reduces dependency on large datasets which are scarce and costly to establish and maintain. There is a rising interest to explore the use of GPT-2 models in healthcare. GPT-2 investigate the performance of GPT-2 and GPT-Neo models for medical text prediction using 374,787 free-text dental notes. GPT-2 fine-tune pre-trained GPT-2 and GPT-Neo models for next word prediction on a dataset of over 374,000 manually written sections of dental clinical notes. Each model was trained on 80 % of a dataset of over 374,000 manually written sections of dental clinical notes, validated on 10 %, and tested on the remaining 10 %. GPT-2 report model performance in terms of next word prediction accuracy and loss. Additionally, GPT-2 analyze the performance of GPT models on different types of prediction tokens for categories. GPT-2 annotate each token in 100 randomly sampled notes by category ( e.g. Names, Abbreviations, Clinical Terms, Punctuation, etc. ) and compare the performance of Each model by token category. Models present acceptable accuracy scores ( GPT-276 %, GPT-Neo53 % ), and the GPT-2 model also performs better in manual evaluations, especially for names, abbreviations, and punctuation. The results suggest that pre-trained models have the potential to assist medical charting in the future. GPT-2 share the lessons learned, insights, and suggestions for future implementations. The results suggest that pre-trained models have the potential to assist medical charting in the future. GPT-2 study presented one of the first implementations of and the GPT-2 model used with medical notes. "
